Record_ID,Company_Type,D-U-N-S@_Number,Latitude,Line_of_Business,Longtitude,Manufacturing_Indicator,Subsidiary_Status,Web_Address_(URL),Year_of_Founding,Auditors,Location_Type,Physical_Address,Physical_City,Physical_Country/Region,Physical_County,Physical_State,Physical_Zipcode,Primary_NAICS_Code,Primary_NAICS_Description
951235058,Private,13-397-0444,36.82341,HEALTH/ALLIED SERVICES,-76.39517,Manufacturer,Non-Subsidiary,,2024,,Single Location,901 MELVIN DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237011029,621999,All Other Miscellaneous Ambulatory Health Care Services
951235059,Private,14-002-2721,36.81,HEALTH/ALLIED SERVICES,-76.37439,Manufacturer,Non-Subsidiary,,2025,,Single Location,735 BRUNSWICK RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237012224,621999,All Other Miscellaneous Ambulatory Health Care Services
951235060,Private,13-877-5418,36.82114,HEALTH/ALLIED SERVICES,-76.31828,Manufacturer,Non-Subsidiary,,2025,,Single Location,1903 JEFFERSON ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237045427,621999,All Other Miscellaneous Ambulatory Health Care Services
951235061,Private,13-944-8718,36.87368,SPECIALTY OUTPATIENT CLINIC,-76.40327,Manufacturer,Non-Subsidiary,,2025,,Single Location,3730B TOWNE POINT RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237032547,621498,All Other Outpatient Care Centers
951235062,Private,13-977-5850,37.04908,HEALTH/ALLIED SERVICES,-76.40285,Manufacturer,Non-Subsidiary,,2025,,Single Location,400 MONTICELLO MEWS APT 212,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662791,621999,All Other Miscellaneous Ambulatory Health Care Services
951235063,Private,13-689-3242,36.8421,HEALTH/ALLIED SERVICES,-76.36708,Manufacturer,Non-Subsidiary,,2025,,Single Location,4117 DUKE DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237034910,621999,All Other Miscellaneous Ambulatory Health Care Services
951235064,Private,13-781-3545,37.03691,HEALTH/ALLIED SERVICES,-76.35127,Manufacturer,Non-Subsidiary,,2025,,Single Location,1011 QUASH ST,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692709,621999,All Other Miscellaneous Ambulatory Health Care Services
951235065,Private,13-729-0715,37.04867,HEALTH/ALLIED SERVICES,-76.30659,Manufacturer,Non-Subsidiary,,2025,,Single Location,2220 ANDREWS BLVD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236631004,621999,All Other Miscellaneous Ambulatory Health Care Services
951235066,Private,14-036-0625,36.837428,HEALTH PRACTITIONER'S OFFICE,-76.302264,Manufacturer,Non-Subsidiary,,2025,,Single Location,403 DINWIDDIE ST APT C,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237042533,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
951235067,Private,13-319-0164,37.06584,HEALTH PRACTITIONER'S OFFICE,-76.32593,Manufacturer,Non-Subsidiary,,2024,,Single Location,112 WILDERNESS RD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236691434,621399,Offices of All Other Miscellaneous Health Practitioners
951235068,Private,13-875-9401,37.02335,HEALTH/ALLIED SERVICES,-76.39361,Manufacturer,Non-Subsidiary,,2025,,Single Location,62 FERNCLIFF DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693689,621999,All Other Miscellaneous Ambulatory Health Care Services
951235069,Private,14-023-9076,37.0232,HEALTH/ALLIED SERVICES,-76.37039,Manufacturer,Non-Subsidiary,,2025,,Single Location,41 KILVERSTONE WAY,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236694816,621999,All Other Miscellaneous Ambulatory Health Care Services
951235070,Private,13-876-4256,36.86738,HEALTH/ALLIED SERVICES,-76.40276,Manufacturer,Non-Subsidiary,,2025,,Single Location,16 PEBBLE POINT CT,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237033042,621999,All Other Miscellaneous Ambulatory Health Care Services
951235071,Private,13-932-5215,36.82157,CHIROPRACTOR'S OFFICE,-76.39518,Manufacturer,Non-Subsidiary,,2025,,Single Location,210 LEWIS RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237011326,621310,Offices of Chiropractors
951235072,Private,13-911-0079,37.04848,HEALTH/ALLIED SERVICES,-76.42675,Manufacturer,Non-Subsidiary,,2025,,Single Location,846 WEYMOUTH TER,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662030,621999,All Other Miscellaneous Ambulatory Health Care Services
951235073,Private,13-957-0457,37.05542,SPECIALTY OUTPATIENT CLINIC,-76.3103,Manufacturer,Non-Subsidiary,,2025,,Single Location,17 LAVENDER TRCE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236631193,621498,All Other Outpatient Care Centers
951235074,Private,14-002-5626,37.02814,HEALTH/ALLIED SERVICES,-76.35611,Manufacturer,Non-Subsidiary,,2025,,Single Location,232 N BACK RIVER RD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693421,621999,All Other Miscellaneous Ambulatory Health Care Services
951235075,Private,13-718-3226,37.03614,HEALTH/ALLIED SERVICES,-76.29557,Manufacturer,Non-Subsidiary,,2025,,Single Location,175 ATLANTIC AVE UNIT A,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641015,621999,All Other Miscellaneous Ambulatory Health Care Services
951235076,Private,13-415-8910,36.87752,MFG SEMICONDUCTORS/RELATED DEVICES,-76.40603,Manufacturer,Non-Subsidiary,,2024,,Single Location,3818 STATEFLOWER CT,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237032529,334413,Semiconductor and Related Device Manufacturing
951235077,Private,13-190-5617,37.098126,HEALTH/ALLIED SERVICES,-76.434019,Manufacturer,Non-Subsidiary,,2024,,Single Location,2205 STING RAY POINT LN,HAMPTON,USA,YORK,VIRGINIA,236652422,621999,All Other Miscellaneous Ambulatory Health Care Services
951235078,Private,01-678-2374,36.861811,TRADE CONTRACTOR,-76.347617,Manufacturer,Non-Subsidiary,,2021,,Single Location,3407 BROADWAY ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237032411,238990,All Other Specialty Trade Contractors
951235079,Private,12-877-5672,37.027015,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.366311,Manufacturer,Non-Subsidiary,,2024,,Single Location,104 MICHIGAN DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693825,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235080,Private,13-675-8421,36.83647,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.35634,Manufacturer,Non-Subsidiary,,2025,,Single Location,311 GRAYSON ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237071101,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235081,Private,07-198-8028,36.87884,LOCAL TRUCKING OPERATOR,-76.39153,Manufacturer,Non-Subsidiary,,2023,,Single Location,5718 DUNKIN ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237031835,484110,"General Freight Trucking, Local"
951235082,Private,13-168-9215,36.842959,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.320518,Manufacturer,Non-Subsidiary,,2024,,Single Location,1716 MCDANIEL ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237041731,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235083,Private,11-911-7917,37.039892,NONRESIDENTIAL BUILDING OPERATOR,-76.437492,Manufacturer,Non-Subsidiary,,2023,,Single Location,28 LUNDY LN,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662882,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
951235084,Private,00-785-2971,37.028123,WHOL ELECTRONIC PARTS/EQUIPMENT,-76.339913,Manufacturer,Non-Subsidiary,,2023,,Single Location,220 MILL POINT DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693533,423690,Other Electronic Parts and Equipment Merchant Wholesalers
951235085,Private,12-914-6345,36.887739,MORTGAGE BANKER/CORRESPONDENT,-76.38258,Manufacturer,Non-Subsidiary,,2024,,Single Location,5646 PICADILLY LN,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237031647,522292,Real Estate Credit
951235086,Private,12-003-1084,37.03387,PLUMBING/HEATING/AIR COND CONTRACTOR,-76.33169,Manufacturer,Non-Subsidiary,,2023,,Single Location,11 N JUNIPER ST,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692416,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
951235087,Private,11-946-9288,37.04646,MANAGEMENT CONSULTING SERVICES,-76.35372,Manufacturer,Non-Subsidiary,,2025,,Single Location,149 PARKWAY DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692640,541614,"Process, Physical Distribution, and Logistics Consulting Services"
951235088,Private,11-941-2821,37.02324,BUSINESS SERVICES,-76.3251,Manufacturer,Non-Subsidiary,,2024,,Single Location,125 FRISSELL ST,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236632319,561990,All Other Support Services
951235089,Private,11-937-5167,36.80635,WHOL APPLIANCES/TV/RADIO,-76.35737,Manufacturer,Non-Subsidiary,SUPREMEACCESSORIES.BIZ,2024,,Single Location,702 RAPIDAN ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237013327,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
951235090,Private,13-772-3849,36.88451,MANAGEMENT SERVICES,-76.38837,Manufacturer,Non-Subsidiary,,2025,,Single Location,4216 BURNHAM DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237031610,561110,Office Administrative Services
951235091,Private,13-378-2205,36.86021,GENERAL AUTO REPAIR,-76.37082,Manufacturer,Non-Subsidiary,,2024,,Single Location,6 RIVER CV,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237033637,811111,General Automotive Repair
951235092,Private,13-230-2843,36.83661,MISC PERSONAL SERVICES,-76.32504,Manufacturer,Non-Subsidiary,,2024,,Single Location,2012 LIVERPOOL ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237043050,812990,All Other Personal Services
951235093,Private,12-876-8627,36.81781,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.32893,Manufacturer,Non-Subsidiary,,2024,,Single Location,19 DEWEY ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237046117,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235094,Private,11-925-9546,37.04689,TRANSPORTATION SERVICES,-76.35679,Manufacturer,Non-Subsidiary,,2024,,Single Location,146 DOOLITTLE RD APT 22,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692645,488999,All Other Support Activities for Transportation
951235095,Private,13-310-1849,37.06354,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.29773,Manufacturer,Non-Subsidiary,,2024,,Single Location,12 EASTLAWN DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641815,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235096,Private,93-211-3728,36.825571,PLUMBING/HEATING/AIR COND CONTRACTOR,-76.31453,Manufacturer,Non-Subsidiary,,2024,,Single Location,1710 ATLANTA AVE,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237044522,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
951235097,Private,13-211-3623,37.04664,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.35415,Manufacturer,Non-Subsidiary,,2024,,Single Location,163 PARKWAY DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692641,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235098,Private,05-203-8191,37.046565,TRANSPORTATION SERVICES,-76.357664,Manufacturer,Non-Subsidiary,,2023,,Single Location,2030 SELDENDALE DR APT A,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692605,488999,All Other Support Activities for Transportation
951235099,Private,13-344-8388,37.04936,TRANSPORTATION SERVICES,-76.29748,Manufacturer,Non-Subsidiary,,2024,,Single Location,6 BARNES CT,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641514,488999,All Other Support Activities for Transportation
951235100,Private,00-985-0522,37.043282,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.439892,Manufacturer,Non-Subsidiary,,2023,,Single Location,915 TODDS LN,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236661842,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235101,Private,06-665-3693,37.048184,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.302222,Manufacturer,Non-Subsidiary,,2023,,Single Location,1900 ZINZER RD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236631045,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235102,Private,13-326-3055,37.02894,INVESTOR,-76.405039,Manufacturer,Non-Subsidiary,,2024,,Single Location,1202 ABERDEEN RD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236664604,523910,Miscellaneous Intermediation
951235103,Private,13-297-9104,37.05413,TRANSPORTATION SERVICES,-76.30971,Manufacturer,Non-Subsidiary,,2024,,Single Location,26 ANGELIA WAY,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236632503,488999,All Other Support Activities for Transportation
951235104,Private,13-377-6983,36.82419,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.38174,Manufacturer,Non-Subsidiary,,2024,,Single Location,300 PINECREST DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237011414,236118,Residential Remodelers
951235105,Private,12-912-7504,37.04349,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.327819,Manufacturer,Non-Subsidiary,,2024,,Single Location,313 RIVERSIDE DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236695236,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235106,Private,10-346-4669,36.856366,TRANSPORTATION SERVICES,-76.373508,Manufacturer,Non-Subsidiary,,2023,,Single Location,4808 TEMPLAR DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237033934,488999,All Other Support Activities for Transportation
951235107,Private,02-283-5585,36.842906,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.326518,Manufacturer,Non-Subsidiary,,2023,,Single Location,2309 LECKIE ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237041545,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235108,Private,11-794-5871,36.819979,NURSING/PERSONAL CARE,-76.342787,Manufacturer,Non-Subsidiary,,2021,,Single Location,225 CHOATE ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237074570,623311,Continuing Care Retirement Communities
951235109,Private,13-222-1480,36.79735,WHOL DURABLE GOODS,-76.3244,Manufacturer,Non-Subsidiary,,2024,,Single Location,15 WOODLAND ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237023014,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
951235110,Private,00-425-8551,37.049981,LOCAL TRUCKING OPERATOR,-76.298294,Manufacturer,Non-Subsidiary,,2023,,Single Location,13 BARNES CT,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641513,484110,"General Freight Trucking, Local"
951235111,Private,09-570-3860,37.069818,BUSINESS CONSULTING SERVICES,-76.293378,Manufacturer,Non-Subsidiary,,2023,,Single Location,9 OLDENBURG LN,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236642021,541618,Other Management Consulting Services
951235112,Private,04-187-0323,37.055174,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.435813,Manufacturer,Non-Subsidiary,,2023,,Single Location,72 BROGDEN LN,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236661909,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235113,Private,13-158-2253,36.814121,TRANSPORTATION SERVICES,-76.366581,Manufacturer,Non-Subsidiary,WWW.CITYLOGISTICSUSA.COM,2024,,Single Location,110 CHEYENNE TRL,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237012410,488999,All Other Support Activities for Transportation
951235114,Private,13-190-1524,37.0501,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.31905,Manufacturer,Non-Subsidiary,,2024,,Single Location,1418 DORENE CT,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236631925,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235115,Private,12-619-4135,37.055985,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.302783,Manufacturer,Non-Subsidiary,WWW.EVCHARGEONTHEGO.COM,2024,,Single Location,163 RANALET DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641603,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235116,Private,13-096-3425,37.03967,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.38223,Manufacturer,Non-Subsidiary,,2024,,Single Location,206 AERO CIR APT 311,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236663335,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235117,Private,13-718-8003,37.03487,WHOL DURABLE GOODS,-76.42141,Manufacturer,Non-Subsidiary,,2025,,Single Location,542 HOLLOMON DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236664953,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
951235118,Private,13-977-6911,37.04981,SECURITY BROKER/DEALER,-76.37641,Manufacturer,Non-Subsidiary,,2025,,Single Location,79 WHEATLAND DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236663533,523150,
951235119,Private,13-932-5533,36.9963,WHOL JEWELRY/PRECIOUS STONES,-76.3914,Manufacturer,Non-Subsidiary,,2025,,Single Location,307 LOCUST AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236612505,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
951235120,Private,11-855-0369,36.86892,RET RECORDS/CD'S/TAPES,-76.38271,Manufacturer,Non-Subsidiary,,2025,,Single Location,5357 LARKSPUR RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237033473,449210,
951235121,Private,10-556-6101,36.808757,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.388669,Manufacturer,Non-Subsidiary,,2023,,Single Location,102 BEN HOGAN DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237012104,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235122,Private,02-487-2069,37.021371,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.36534,Manufacturer,Non-Subsidiary,,2023,,Single Location,722 MILFORD AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236611142,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235123,Private,08-890-2773,36.867383,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.395189,Manufacturer,Non-Subsidiary,,2023,,Single Location,5901 CAMPBELL ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237033123,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235124,Private,08-874-6046,37.031984,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.340823,Manufacturer,Non-Subsidiary,,2023,,Single Location,501 MARSHALL ST APT B,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693138,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235125,Private,10-575-2897,37.088059,MANAGEMENT CONSULTING SERVICES,-76.434189,Manufacturer,Non-Subsidiary,,2023,,Single Location,16 WESTMONT DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236665506,541611,Administrative Management and General Management Consulting Services
951235126,Private,10-216-1337,36.8659,HOME HEALTH CARE SERVICES,-76.349498,Manufacturer,Non-Subsidiary,,2022,,Single Location,3401 VAN BUREN ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237032329,621610,Home Health Care Services
951235127,Private,01-024-4590,36.849579,TRADE CONTRACTOR,-76.376846,Manufacturer,Non-Subsidiary,,2023,,Single Location,4419 GANNON RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237034830,238990,All Other Specialty Trade Contractors
951235128,Private,03-225-8806,37.032884,TRADE CONTRACTOR,-76.410112,Manufacturer,Non-Subsidiary,,2023,,Single Location,31 TALLWOOD DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236663946,238990,All Other Specialty Trade Contractors
951235129,Private,12-877-5278,36.893659,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.387798,Manufacturer,Non-Subsidiary,,2024,,Single Location,5602 PARISH LN,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237031539,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235130,Private,12-354-5796,36.853366,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.380655,Manufacturer,Non-Subsidiary,,2024,,Single Location,5010 HIGH ST W,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237034113,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235131,Private,09-603-2654,36.836309,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.299894,Manufacturer,Non-Subsidiary,,2023,,Single Location,359 LONDON ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237042800,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235132,Private,03-213-2366,37.049838,BUILDING MAINTENANCE SERVICES,-76.377483,Manufacturer,Non-Subsidiary,,2023,,Single Location,2204 N ARMISTEAD AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662606,561720,Janitorial Services
951235133,Private,02-632-9320,37.039324,TRANSPORTATION SERVICES,-76.420475,Manufacturer,Non-Subsidiary,,2023,,Single Location,33 HAMPSTEAD HEATH WAY,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662992,488999,All Other Support Activities for Transportation
951235134,Private,07-664-6003,37.026461,TRANSPORTATION SERVICES,-76.384142,Manufacturer,Non-Subsidiary,,2022,,Single Location,11 N INDEPENDENCE DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236693778,488999,All Other Support Activities for Transportation
951235135,Private,13-190-5576,36.8737,DRYWALL/INSULATING CONTRACTOR,-76.3879,Manufacturer,Non-Subsidiary,,2024,,Single Location,3908 KALONA RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237032058,238310,Drywall and Insulation Contractors
951235136,Private,11-913-4508,36.800757,RESIDENTIAL CONSTRUCTION,-76.315833,Manufacturer,Non-Subsidiary,,2023,,Single Location,77 AFTON PKWY APT 5,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237022850,236116,New Multifamily Housing Construction (except For-Sale Builders)
951235137,Private,13-210-6289,36.80322,NONRESIDENTIAL BUILDING OPERATOR,-76.32311,Manufacturer,Non-Subsidiary,,2024,,Single Location,124 W AFTON PKWY,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237022962,531312,Nonresidential Property Managers
951235138,Private,10-566-6863,37.040079,PLUMBING/HEATING/AIR COND CONTRACTOR,-76.301508,Manufacturer,Non-Subsidiary,,2023,,Single Location,40 REYNOLDS DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236641047,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
951235139,Private,11-913-2076,36.79005,BUSINESS SERVICES,-76.370525,Manufacturer,Non-Subsidiary,,2023,,Single Location,1312 WARFIELD DR,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237013850,561990,All Other Support Services
951235140,Private,11-917-8852,36.805378,BUSINESS SERVICES,-76.333809,Manufacturer,Non-Subsidiary,,2023,,Single Location,2717 BARCLAY AVE,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237021607,561990,All Other Support Services
951235141,Private,09-635-5269,37.057113,PLUMBING/HEATING/AIR COND CONTRACTOR,-76.39614,Manufacturer,Non-Subsidiary,,2021,,Single Location,1402 PAUL JACK DR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662423,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
951235142,Private,11-912-9269,37.039823,BUSINESS SERVICES,-76.382398,Manufacturer,Non-Subsidiary,,2023,,Single Location,206 AERO CIR APT 207,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236663335,561990,All Other Support Services
951235143,Private,13-159-6148,36.875346,WHOL BOOKS/NEWSPAPERS,-76.392278,Manufacturer,Non-Subsidiary,,2024,,Single Location,2 HARDWOOD CT,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237031944,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
